n_clusters,noise_frac,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,dataset,method,params,runtime_s,inertia,n_iter
121,0.24077396207073296,0.324451952023848,0.43811658056298386,69195.09666778114,,,Earthquakes,DBSCAN,"{""eps"": 87.664707, ""min_samples"": 16}",0.10692139100001441,,
93,0.1611566717922433,0.18275356034431145,0.4577732590521745,46678.374206518965,,,Earthquakes,DBSCAN,"{""eps"": 123.278495, ""min_samples"": 16}",0.12402898300001652,,
86,0.1124636938322228,-0.01587646247376814,0.48328315183545606,15074.661395881241,,,Earthquakes,DBSCAN,"{""eps"": 164.371326, ""min_samples"": 16}",0.14494175899994843,,
69,0.07876302750726123,0.16099960903696023,0.4776053234253492,17302.622211498634,,,Earthquakes,DBSCAN,"{""eps"": 219.161768, ""min_samples"": 16}",0.18854977099999815,,
58,0.05779087647360328,0.09196375288999213,0.5345535859114672,9950.666095639615,,,Earthquakes,DBSCAN,"{""eps"": 273.95221, ""min_samples"": 16}",0.19687099899999794,,
44,0.03592174953015548,0.214510346861126,0.523649793009053,9278.613381093515,,,Earthquakes,DBSCAN,"{""eps"": 356.137874, ""min_samples"": 16}",0.2423258019999821,,
26,0.022424397744746284,0.028137264085425114,0.8095385575394245,9831.553568783129,,,Earthquakes,DBSCAN,"{""eps"": 465.718758, ""min_samples"": 16}",0.2814504630000556,,
19,0.012942080984110713,0.038608025285068785,0.6779241398758059,13249.940703565595,,,Earthquakes,DBSCAN,"{""eps"": 602.694863, ""min_samples"": 16}",0.48776641500001006,,
9,0.0065351101998974885,0.32281552852688417,0.6393311331327304,18025.616491389283,,,Earthquakes,DBSCAN,"{""eps"": 821.856631, ""min_samples"": 16}",0.43253474699997696,,
35,0.883862976251495,0.7661895499125332,0.30400855199939697,18954255.626825385,,,Earthquakes,DBSCAN,"{""eps"": 27.395221, ""min_samples"": 32}",0.07074626200005696,,
49,0.745942251836665,0.6177935312613417,0.3586121841294976,2564517.3297847426,,,Earthquakes,DBSCAN,"{""eps"": 41.092832, ""min_samples"": 32}",0.07764482100003534,,
